Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月13日 11:33:45,9.0,0.0,1.0,0.25,5.0,9.0,1,14.816666666666666,2:0,11:0,9.0,0.0,1.0,0.25,5.0
2022年12月15日 00:23:27,9.0,0.0,2.0,0.0,1.0,7.333333333333334,2,25.0,1:0,8:20,9.0,0.0,0.5,0.25,5.0
2022年12月16日 21:40:05,0.0,0.0,1.0,0.3333333333333333,2.0,8.5,2,2.6499999999999986,24:0,8:30,10.0,0.0,0.0,0.0,0.0
2022年12月23日 00:16:59,0.0,0.5,0.5,0.25,2.0,9.0,3,26.0,2:0,11:0,10.0,0.0,0.0,0.0,1.0
2022年12月23日 19:45:58,0.0,0.5,1.0,0.5,2.0,9.0,3,4.683333333333334,24:0,9:0,8.0,0.0,0.0,0.0,0.0
2022年12月24日 21:16:50,0.0,0.0,0.5,0.0,2.0,11.0,2,2.6499999999999986,0:0,11:0,6.5,0.0,1.0,0.0,1.0
