Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月14日 18:42:58,0.0,0.0,0.5,0.5,5.183333333333334,8.0,1,6.199999999999999,0:30,8:30,0.0,0.0,0.5,0.5,7.0
2022年12月16日 19:14:04,0.0,0.0,0.5,0.5,4.683333333333334,8.0,1,5.183333333333334,0:30,8:30,0.0,0.0,0.0,0.0,0.0
2022年12月19日 18:56:47,0.0,0.0,0.5,0.5,5.183333333333334,8.0,1,6.199999999999999,0:30,8:30,0.0,0.0,0.0,0.0,0.0
2022年12月20日 19:01:20,0.0,0.0,0.5,0.75,4.933333333333334,8.0,1,5.183333333333334,24:30,8:30,0.0,0.0,0.0,0.0,0.0
2022年12月21日 19:16:02,0.0,0.0,0.5,0.75,3.9333333333333336,8.0,1,5.183333333333334,0:30,8:30,0.0,0.0,0.0,0.0,0.0
