Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月14日 19:11:57,0.0,0.0,1.0,1.0,5.383333333333334,7.383333333333335,1,6.316666666666666,1:38,9:1,3.0,1.0,2.0,1.0,9.0
2022年12月15日 18:23:59,1.0,0.0,0.5,1.0,4.266666666666667,5.766666666666668,1,8.983333333333333,3:17,9:3,2.0,1.0,2.0,1.0,10.0
2022年12月16日 19:38:33,0.0,0.0,0.5,0.5,4.916666666666667,5.933333333333334,1,8.683333333333334,4:0,9:56,0.0,0.5,2.0,0.5,12.0
2022年12月18日 18:40:34,0.0,0.0,1.0,1.0,6.666666666666667,8.0,1,8.7,3:0,11:0,7.0,0.0,2.0,0.5,8.0
