Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月16日 18:59:14,7.0,0.0,0.3333333333333333,0.5,8.666666666666666,7.5,1,6.699999999999999,1:0,8:30,7.0,0.0,0.25,0.5,8.75
2022年12月19日 18:49:15,0.0,0.0,0.5,0.5,6.6,6.583333333333334,1,7.616666666666665,1:55,8:30,7.933333333333334,0.0,0.5,0.5,8.483333333333333
2022年12月20日 20:50:07,8.0,0.25,0.25,0.5,7.0,8.0,1,4.500000000000001,0:50,8:50,8.5,0.25,0.25,0.5,6.5
2022年12月21日 18:44:32,7.0,0.5,0.5,0.5,7.5,8.0,1,6.533333333333332,0:50,8:50,7.0,0.0,0.5,0.5,8.0
2022年12月22日 18:45:22,6.5,0.5,1.0,0.5,8.0,7.5,1,6.699999999999999,1:0,8:30,6.5,0.0,0.5,0.5,9.0
