Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月16日 20:19:21,0.0,0.0,0.5,0.0,3.1666666666666665,9.0,2,3.666666666666668,24:0,9:0,6.0,0.0,0.0,0.3333333333333333,0.0
2022年12月20日 17:38:29,0.0,0.0,1.0,1.0,6.7,8.0,1,8.716666666666665,2:0,10:0,1.75,0.0,0.0,0.6666666666666666,5.0
2022年12月21日 21:16:05,0.0,0.0,1.0,0.5,2.1333333333333333,9.0,2,3.649999999999999,1:0,10:0,6.5,0.0,0.0,0.1666666666666666,1.8333333333333333
2022年12月22日 20:10:12,0.0,0.0,0.16666666666666666,0.25,3.25,8.0,1,3.666666666666668,24:0,8:0,10.5,0.0,0.0,0.25,0.6666666666666666
