Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月16日 20:19:21,0.0,0.5,0.5,0.5,2.1666666666666665,7.0,3,3.666666666666668,2:0,9:0,6.0,0.0,0.0,0.3333333333333333,0.0
2022年12月20日 17:38:29,0.0,0.0,1.0,0.5,4.5,8.0,3,8.716666666666665,24:0,8:0,1.75,0.0,0.0,0.6666666666666666,5.0
2022年12月21日 21:16:05,0.0,0.0,1.0,1.0,2.6333333333333333,8.0,3,3.649999999999999,2:0,10:0,6.5,0.0,0.0,0.1666666666666666,1.8333333333333333
2022年12月22日 20:10:12,0.0,0.0,0.25,0.25,5.166666666666667,8.0,3,3.666666666666668,2:0,10:0,10.5,0.0,0.0,0.25,0.6666666666666666
