Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月13日 21:04:28,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,8.666666666666666,2,2.1499999999999986,23:30,8:10,0.0,0.0,0.3,0.3166666666666666,3.7666666666666666
2022年12月17日 19:37:35,0.0,0.0,0.3333333333333333,0.3333333333333333,4.333333333333333,8.166666666666666,1,5.016666666666667,0:20,8:30,0.0,0.0,0.1666666666666666,0.3333333333333333,3.6
2022年12月18日 19:41:24,0.0,0.0,0.3666666666666666,0.3333333333333333,5.983333333333333,7.666666666666666,1,6.683333333333334,2:0,9:40,0.0,0.0,0.25,0.4666666666666667,4.583333333333333
2022年12月20日 02:52:41,0.0,0.0,0.4166666666666667,0.3333333333333333,6.75,7.0,1,24.96666666666667,3:0,10:0,0.0,0.0,0.35,0.35,4.866666666666667
2022年12月20日 18:42:03,0.0,0.0,0.3333333333333333,0.4166666666666667,5.266666666666667,6.666666666666667,1,6.033333333333332,0:20,7:0,0.0,0.0,0.2,0.25,6.416666666666667
