Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月18日 18:35:10,0.0,0.5,0.25,0.25,4.683333333333334,10.0,1,5.699999999999999,0:0,10:0,8.25,0.0,0.0,0.0,1.0833333333333333
2022年12月19日 21:06:31,0.0,0.0,0.0,0.5,3.1333333333333333,8.0,2,3.649999999999999,1:0,9:0,8.1,0.3333333333333333,0.6333333333333333,0.0,0.4166666666666667
2022年12月20日 19:17:48,0.0,0.0,0.0,1.0,3.6833333333333336,8.0,1,4.683333333333334,0:0,8:0,7.2,0.0,0.4333333333333333,0.0,1.5166666666666666
2022年12月24日 18:38:06,0.0,0.0,1.0,1.0,6.183333333333334,6.5,1,8.2,2:30,9:0,8.483333333333333,0.0,0.0,0.0,1.1333333333333333
2022年12月26日 19:03:18,0.0,1.0,0.5,0.5,4.683333333333334,8.0,1,4.683333333333334,0:0,8:0,7.716666666666667,0.0,0.0,0.0,0.8
