Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月14日 19:34:06,0.0,0.25,0.5,0.25,2.6833333333333336,10.833333333333334,2,3.6833333333333336,23:0,9:50,0.0,0.5,0.5,0.0,1.5
2022年12月16日 20:06:48,0.0,0.5,0.5,0.0,2.1666666666666665,8.0,3,3.666666666666668,0:0,8:0,0.0,0.5,0.5,0.5,3.0
2022年12月20日 19:57:27,0.0,0.35,0.5,0.0,3.8333333333333335,10.0,1,4.683333333333334,0:0,10:0,0.5,0.5,0.0,0.0,10.0
2022年12月21日 20:01:13,0.0,0.5,0.5,0.0,2.6666666666666665,10.0,3,3.666666666666668,0:0,10:0,2.0,0.5,0.5,0.5,4.0
