Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月13日 10:46:58,0.0,4.0,5.0,6.0,1.0,5.1,1,13.833333333333334,0:0,5:6,0.0,0.0,0.0,0.0,0.0
2022年12月13日 11:01:11,0.0,0.1,6.1,5.1,6.1,9.916666666666666,1,12.816666666666666,0:5,10:0,0.0,0.0,1.0,0.0,2.0
2022年12月13日 11:28:11,0.0,0.0,0.0,0.0,0.0,0.0,1,12.816666666666666,0:0,0:0,0.0,0.0,0.0,0.0,0.0
2022年12月13日 20:38:47,0.0,0.0,0.0,0.0,0.0,0.0,1,3.666666666666668,0:0,0:0,0.0,0.0,0.0,0.0,0.0
2022年12月13日 20:38:47,0.0,0.0,0.0,0.0,0.0,0.0,1,3.666666666666668,0:0,0:0,0.0,0.0,0.0,0.0,0.0
