Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月18日 18:04:41,0.0,0.0,1.0,1.0,5.683333333333334,6.5,2,7.699999999999999,2:0,8:30,0.0,0.0,0.5,0.0,4.833333333333333
2022年12月19日 19:40:30,0.0,0.0,1.0,1.0,4.683333333333334,6.5,2,6.683333333333334,2:0,8:30,7.0,0.0,0.25,0.0,0.5
2022年12月20日 19:19:29,0.0,0.0,1.0,1.5,4.183333333333334,6.5,3,6.683333333333334,2:0,8:30,0.0,0.0,0.1666666666666666,0.0,4.0
2022年12月20日 19:19:29,0.0,0.0,1.0,1.5,4.183333333333334,6.5,3,6.683333333333334,2:0,8:30,0.0,0.0,0.1666666666666666,0.0,4.0
2022年12月23日 18:03:41,0.0,0.0,1.0,1.5,4.0,6.5,3,6.699999999999999,1:0,7:30,0.0,0.0,0.5,0.0,6.5
2022年12月26日 18:26:59,0.0,0.0,1.0,1.0,5.683333333333334,7.5,3,7.699999999999999,2:0,9:30,0.0,0.0,0.5,0.0,4.65
