Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月13日 19:54:31,0.3333333333333333,0.0,1.0,0.6666666666666666,3.0,8.5,2,14.833333333333334,1:0,9:30,7.0,0.0,0.75,0.5,4.5
2022年12月14日 20:59:57,0.0,0.0,1.0,0.6666666666666666,0.0,7.0,2,1.666666666666668,22:0,5:0,0.1666666666666666,0.0,1.0,0.5,2.333333333333333
2022年12月16日 20:18:04,0.0,0.0,1.0,0.5,2.1666666666666665,9.0,2,3.666666666666668,0:0,9:0,8.0,0.0,1.0,0.0,2.0
2022年12月20日 18:27:12,1.0,0.0,1.0,0.6666666666666666,4.0,9.0,2,7.699999999999999,1:0,10:0,0.3333333333333333,0.0,1.0,0.5,2.0
2022年12月21日 19:27:00,0.16666666666666666,0.0,1.1666666666666667,0.6666666666666666,3.6666666666666665,8.5,1,5.683333333333334,1:0,9:30,7.0,0.0,1.3333333333333333,0.6666666666666666,3.0
