Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月17日 20:00:06,12.0,0.0,0.3333333333333333,0.5,5.0,6.0,1,4.666666666666668,1:0,7:0,12.0,0.0,0.3333333333333333,0.5,5.0
2022年12月18日 18:13:08,10.0,0.0,0.3333333333333333,0.5,7.0,6.0,1,8.7,3:0,9:0,5.0,0.0,0.3333333333333333,0.5,6.0
2022年12月19日 19:57:39,8.0,0.0,0.5,0.5,8.0,7.0,2,4.683333333333334,0:0,7:0,6.0,0.0,0.3333333333333333,0.5,12.0
2022年12月20日 21:28:15,10.0,0.0,0.25,0.5,7.25,6.0,1,2.6499999999999986,0:0,6:0,8.0,0.0,0.25,0.6666666666666666,9.083333333333334
2022年12月21日 19:53:01,0.0,0.0,0.3333333333333333,0.3333333333333333,3.4333333333333336,6.0,2,4.683333333333334,0:0,6:0,0.0,0.0,0.0,0.0,0.0
