Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月16日 18:59:14,6.5,0.25,0.5,0.5,8.75,7.5,3,6.699999999999999,0:0,7:30,7.0,0.0,0.25,0.5,8.75
2022年12月19日 18:49:15,6.0,0.5,0.5,0.5,8.5,8.0,3,7.616666666666665,0:30,8:30,7.933333333333334,0.0,0.5,0.5,8.483333333333333
2022年12月20日 20:50:07,8.5,0.5,0.5,0.5,6.0,8.0,3,4.500000000000001,0:30,8:30,8.5,0.25,0.25,0.5,6.5
2022年12月21日 18:44:32,6.0,0.5,0.5,0.5,8.5,8.0,2,6.533333333333332,0:30,8:30,7.0,0.0,0.5,0.5,8.0
2022年12月22日 18:45:22,6.0,1.0,1.0,0.5,8.0,7.5,2,6.699999999999999,0:30,8:0,6.5,0.0,0.5,0.5,9.0
