Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
2022年12月13日 21:04:28,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,8.666666666666666,2,2.1499999999999986,23:30,8:10,0.0,0.0,0.3,0.3166666666666666,3.7666666666666666
2022年12月17日 19:37:35,0.0,0.0,0.3333333333333333,0.4166666666666667,4.25,8.333333333333332,2,5.016666666666667,0:20,8:40,0.0,0.0,0.1666666666666666,0.3333333333333333,3.6
2022年12月18日 19:41:24,0.0,0.0,0.36666666666666664,0.3333333333333333,4.666666666666667,8.166666666666668,2,6.683333333333334,1:10,9:20,0.0,0.0,0.25,0.4666666666666667,4.583333333333333
