time,Heart Rate
2020/6/12 0:00,857.1428571
2020/6/12 0:00,869.5652174
2020/6/12 0:00,869.5652174
2020/6/12 0:00,882.3529412
2020/6/12 0:00,869.5652174
2020/6/12 0:00,882.3529412
2020/6/12 0:01,869.5652174
2020/6/12 0:01,882.3529412
2020/6/12 0:01,895.5223881
2020/6/12 0:01,909.0909091
2020/6/12 0:01,895.5223881
2020/6/12 0:01,882.3529412
2020/6/12 0:01,882.3529412
2020/6/12 0:01,869.5652174
2020/6/12 0:01,869.5652174
2020/6/12 0:02,869.5652174
2020/6/12 0:02,869.5652174
2020/6/12 0:02,869.5652174
2020/6/12 0:02,882.3529412
2020/6/12 0:02,869.5652174
2020/6/12 0:02,857.1428571
2020/6/12 0:02,857.1428571
2020/6/12 0:03,857.1428571
2020/6/12 0:03,857.1428571
2020/6/12 0:03,857.1428571
2020/6/12 0:03,869.5652174
2020/6/12 0:03,869.5652174
2020/6/12 0:04,869.5652174
2020/6/12 0:04,869.5652174
2020/6/12 0:04,882.3529412
2020/6/12 0:04,869.5652174
2020/6/12 0:05,869.5652174
2020/6/12 0:05,857.1428571
2020/6/12 0:05,857.1428571
2020/6/12 0:05,857.1428571
2020/6/12 0:05,845.0704225
2020/6/12 0:05,857.1428571
2020/6/12 0:05,845.0704225
2020/6/12 0:06,845.0704225
2020/6/12 0:06,833.3333333
2020/6/12 0:06,833.3333333
2020/6/12 0:06,833.3333333
2020/6/12 0:06,845.0704225
2020/6/12 0:06,845.0704225
2020/6/12 0:06,857.1428571
2020/6/12 0:06,857.1428571
2020/6/12 0:07,869.5652174
2020/6/12 0:07,869.5652174
2020/6/12 0:07,882.3529412
2020/6/12 0:07,882.3529412
2020/6/12 0:07,869.5652174
2020/6/12 0:07,882.3529412
2020/6/12 0:07,869.5652174
2020/6/12 0:08,869.5652174
2020/6/12 0:08,869.5652174
2020/6/12 0:08,869.5652174
2020/6/12 0:08,857.1428571
2020/6/12 0:09,857.1428571
2020/6/12 0:09,857.1428571
2020/6/12 0:09,857.1428571
2020/6/12 0:09,869.5652174
2020/6/12 0:09,869.5652174
2020/6/12 0:09,882.3529412
2020/6/12 0:09,882.3529412
2020/6/12 0:10,882.3529412
2020/6/12 0:10,882.3529412
2020/6/12 0:10,882.3529412
2020/6/12 0:10,869.5652174
2020/6/12 0:11,869.5652174
